C,APD,AAPL,AIG,TFX,PSA,OXY,MTB,NOC
16.23687553,4.032723904,0.128905997,24.70410538,1.618056059,14.5,11.49673653,0.5625,7.905624866
16.28874969,4.003816128,0.122210003,24.81198311,1.534721971,14.625,11.55661583,0.556249976,7.886802197
16.28874969,4.104994774,0.113280997,24.52430725,1.548611045,14.25,11.43685818,0.568750024,7.886802197
16.13312531,4.047179222,0.116071001,24.66814613,1.541666985,14.875,11.37697887,0.568750024,7.811510086
16.13312531,4.032723904,0.119419999,24.59622765,1.375,14.5,11.37697887,0.568750024,7.453875065
16.34062576,4.003816128,0.126673996,24.74006462,1.298611045,13.75,11.85601044,0.568750024,7.755042076
16.39249992,3.902636051,0.132813007,24.74006462,1.222221971,14.5,11.31710052,0.550000012,7.679749966
16.34062576,3.902636051,0.138393,24.91986275,1.194443941,14.5,11.07758522,0.550000012,6.926833153
16.54812431,3.844820023,0.145647004,24.95582008,1.159721971,14.375,11.07758522,0.5,6.700957775
16.54812431,4.047179222,0.159040004,25.02774048,1.229166985,13.5,10.95782661,0.512499988,6.550374985
16.28874969,4.032723904,0.161272004,24.63218689,1.381943941,13.5,11.01770592,0.512499988,6.663312912
16.18499947,4.018270016,0.157365993,24.2366333,1.416666985,13.25,10.95782661,0.518750012,6.606843948
16.23687553,3.931545019,0.152902007,24.09279633,1.444443941,13.25,11.13746357,0.524999976,6.588020802
16.34062576,3.815911055,0.155134007,23.76916122,1.416666985,12.25,11.07758522,0.518750012,6.757427216
16.18499947,3.801456928,0.151227996,23.80512047,1.375,12.5,11.01770592,0.5,6.945655823
16.18499947,3.844820023,0.144530997,23.94895744,1.361111045,13.5,10.95782661,0.5,7.11506319
16.34062576,3.960453033,0.138393,23.80512047,1.402778029,13.25,10.65843296,0.506250024,7.303291798
16.23687553,4.047179222,0.135602996,23.15785027,1.375,13.25,10.65843296,0.512499988,7.378582954
16.18499947,4.235083103,0.142857,22.43866348,1.381943941,12.75,10.47879696,0.512499988,7.322114944
16.18499947,4.235083103,0.142298996,22.43866348,1.368056059,12.5,11.07758522,0.512499988,7.340938091
16.13312531,4.191720963,0.136719003,22.51058197,1.340278029,12.5,11.07758522,0.493750006,7.453875065
16.13312531,4.13390398,0.137277007,22.43866348,1.347221971,12.5,10.77819061,0.5,7.529167175
16.18499947,4.076086998,0.140625,22.40270424,1.291666985,12.5,10.59855366,0.512499988,7.566812992
16.18499947,3.960453033,0.138951004,22.40270424,1.256943941,12.75,10.53867626,0.524999976,7.980916977
16.18499947,3.815911055,0.147321001,22.51058197,1.222221971,12.5,10.65843296,0.512499988,7.604457855
16.18499947,4.076086998,0.142857,22.43866348,1.277778029,12.75,10.65843296,0.512499988,7.566812992
16.23687553,4.162812233,0.146204993,22.18694878,1.284721971,13,10.59855366,0.537500024,7.529167175
16.18499947,4.220629215,0.147879004,22.29482651,1.3125,13,10.35903931,0.543749988,7.303291798
16.28874969,4.307353973,0.147321001,22.58250046,1.298611045,13,10.59855366,0.543749988,7.11506319
16.28874969,4.292900085,0.144530997,22.87017632,1.326388955,12.75,10.53867626,0.5625,6.926833153
16.23687553,4.350717068,0.143972993,22.47462273,1.368056059,13,10.53867626,0.5625,6.908010006
